# Biokinesis-SDK Export,
# sensor_id: 1,
# label: Xiao_Arm,
# signal: emg_filtered,
# unit: uV,
# exported_at: 2026-05-02T23:18:19,
timestamp_us,emg_uV
987943625,-4498.517036
987944625,-10640.20693
987945625,-10476.0463
987946625,-7362.117477
987947625,-5284.292756
987948625,-4505.82749
987949625,-3417.649284
987950625,-1748.767242
987951625,-449.20583
987952625,49.944512
987953391,-4301.69358
987954391,-10768.40125
987955391,-10954.01849
987956391,-8059.484794
987957391,-5903.289479
987958391,-4737.254682
987959391,-3250.911634
987960391,-1477.887914
987961391,-304.531602
987962391,81.389777
987963157,-4416.840169
987964157,-10305.87753
987965157,-9996.416591
987966157,-6909.587577
987967157,-5018.088296
987968157,-4540.935108
987969157,-3707.753748
987970157,-2060.395697
987971157,-604.577542
987972157,19.089122
987972922,-4199.923916
987973922,-10722.77334
987974922,-10909.28375
987975922,-7866.483502
987976922,-5629.954565
987977922,-4667.917513
987978922,-3474.727865
987979922,-1762.281106
987980922,-447.481274
987981922,54.580519
987983664,-4535.102849
987984664,-10693.42707
987985664,-10793.87527
987986664,-7976.159983
987987664,-5773.246337
987988664,-4499.319964
987989664,-3068.832173
987990664,-1443.241965
987991664,-329.644194
987992664,69.053261
987993430,-4739.147552
987994430,-10330.59868
987995430,-9637.438079
987996430,-6556.129597
987997430,-5007.32278
987998430,-4762.269133
987999430,-3875.388546
988000430,-2094.961426
988001430,-592.050701
988002430,24.562649
988003196,-4783.536092
988004196,-10904.35118
988005196,-10588.09508
988006196,-7351.512387
988007196,-5234.678909
988008196,-4450.637562
988009196,-3359.519262
988010196,-1701.929405
988011196,-427.164973
988012196,54.164249
988095969,-4625.024008
988096969,-10510.71809
988097969,-10095.01685
988098969,-6905.825582
988099969,-4956.544855
988100969,-4346.623622
988101969,-3338.366789
988102969,-1694.757949
988103969,-424.190819
988104969,51.412207
988122336,-3725.427936
988123336,-9978.815185
988124336,-10326.42749
988125336,-7582.993555
988126336,-5514.655798
988127336,-4630.993573
988128336,-3525.967961
988129336,-1859.530602
988130336,-510.078074
988131336,38.097149
988132102,-4931.292048
988133102,-11112.01965
988134102,-10722.59232
988135102,-7509.153361
988136102,-5501.943404
988137102,-4736.247697
988138102,-3553.165133
988139102,-1797.186
988140102,-460.060428
988141102,51.558826
988141868,-4747.371662
988142868,-11396.54082
988143868,-11425.99167
988144868,-8212.161163
988145868,-5840.57923
988146868,-4675.223077
988147868,-3287.055869
988148868,-1551.429707
988149868,-343.476398
988150868,75.921623
988151633,-5288.762851
988152633,-12007.73962
988153633,-11552.08964
