# Biokinesis-SDK IMU Export
# sensor_id: 1
# label: Xiao_Arm
# exported_at: 2026-05-02T23:18:19
timestamp_us,qw,qx,qy,qz,roll_rad,pitch_rad,yaw_rad
987952625.0,0.99914712,0.03953572,0.00726886,0.00944089,0.07923163,0.01377924,0.01944350
987962391.0,0.99689413,0.07522957,0.01376186,0.01879386,0.15112936,0.02461302,0.03956387
987972157.0,0.99426087,0.10233082,0.01559233,0.02702952,0.20584695,0.02547654,0.05698927
987981922.0,0.99198313,0.12081894,0.01401149,0.03429181,0.24309470,0.01951335,0.07149398
987992664.0,0.99010915,0.13406126,0.01012186,0.04011222,0.26954622,0.00928864,0.08224107
988002430.0,0.98862277,0.14331758,0.00642814,0.04520818,0.28791666,-0.00024824,0.09135723
988012196.0,0.98673452,0.15403682,0.00498582,0.05101744,0.30941438,-0.00587780,0.10239796
988104969.0,0.98376239,0.17237720,0.00121045,0.04996202,0.34618833,-0.01484358,0.09889080
988131336.0,0.97943826,0.19492760,0.00691342,0.05153770,0.39256538,-0.00654974,0.10383996
988141102.0,0.97473344,0.21580414,0.01408312,0.05590135,0.43595900,0.00332710,0.11531224
988150868.0,0.97026720,0.23345423,0.01832981,0.06119390,0.47268720,0.00699774,0.12765676
988160633.0,0.96593350,0.24937538,0.00869590,0.06862051,0.50410828,-0.01742609,0.13735507
988191883.0,0.96375293,0.25880390,0.00059820,0.06481100,0.52265859,-0.03239932,0.12562918
988205555.0,0.95807678,0.27892294,-0.00164335,0.06548410,0.56411131,-0.03968936,0.12498417
988215321.0,0.94967716,0.30513755,0.00121153,0.07073115,0.61899924,-0.04087571,0.13561108
988225086.0,0.93970795,0.33295954,0.00869046,0.07753315,0.67834860,-0.03530516,0.15218542
988234852.0,0.92795459,0.36203306,0.01605775,0.08703158,0.74105690,-0.03322101,0.17412371
988245594.0,0.91622640,0.38910536,0.01760542,0.09389489,0.79937505,-0.04082025,0.18700155
988255360.0,0.90903747,0.40537606,0.01530917,0.09532447,0.83430389,-0.04947147,0.18703504
988285633.0,0.91137697,0.39727681,0.00247514,0.10750361,0.81402059,-0.08099433,0.19989889
988295399.0,0.90352540,0.41221183,-0.02205292,0.11505187,0.84296345,-0.13511294,0.19265827
988305164.0,0.86209730,0.49015988,-0.07863098,0.10172858,1.02187069,-0.23752892,0.10132992
988314930.0,0.74855687,0.64439320,-0.14651682,0.05433999,1.43816928,-0.29358428,-0.11251715
988325672.0,0.54992884,0.81202748,-0.19321493,-0.02928542,1.98111912,-0.16570508,-0.35843242
988335438.0,0.34739636,0.90947112,-0.19423220,-0.12021610,2.39248712,0.08381312,-0.45377453
988345204.0,0.28047771,0.92413659,-0.18591858,-0.18093670,2.49580030,0.23220963,-0.47507181
988354969.0,0.49258406,0.83189983,-0.16630190,-0.19402912,2.03206969,0.15966780,-0.49368255
988365711.0,0.85339914,0.49632546,-0.09797484,-0.12558617,1.06035012,-0.04257293,-0.31717915
988375477.0,0.99572242,0.07362905,-0.05018951,-0.02442617,0.15034266,-0.09650241,-0.05632590
988385243.0,0.98526807,-0.09035216,-0.13447249,0.05477655,-0.20071443,-0.25793515,0.13719319
988395008.0,0.94930616,-0.04520445,-0.29836130,0.08806194,-0.16760060,-0.59258947,0.23627378
988405750.0,0.87244669,0.18294735,-0.44824983,0.06662675,0.45440422,-0.93825306,-0.08086589
988415516.0,0.70892439,0.51383696,-0.48033469,0.05173361,1.55532962,-0.82449827,-0.66751038
988425282.0,0.48788045,0.78058783,-0.36906377,0.12824682,2.20540881,-0.59478876,-0.57585598
988435047.0,0.28508639,0.87019720,-0.20770995,0.34400458,2.61004121,-0.79968159,-0.23954488
988445789.0,0.07533355,0.74972917,-0.08769098,0.65156835,-3.13217940,-1.43076588,-0.24104851
988455555.0,-0.14136506,0.44225334,-0.03336853,0.88505053,-0.29466744,-0.88418534,-2.68455223
988465321.0,-0.30044574,0.08964937,-0.07474057,0.94663044,-0.19820815,-0.12514508,-2.51447638
988475086.0,-0.38928229,-0.13665202,-0.16939100,0.89503755,-0.21409578,0.38601452,-2.36308058
988484852.0,-0.45936245,-0.11220382,-0.24229827,0.84716468,-0.34429877,0.42543350,-2.22293958
